A4109, Civil Engineering, Indian Institute of Technology Bhubaneswar
B4101, Aerospace Engineering, Indian Institute of Technology Bombay
G4101, Aerospace Engineering, Indian Institute of Technology Kharagpur
G5101, Aerospace Engineering, Indian Institute of Technology Kharagpur
K4101, Aerospace Engineering, Indian Institute of Technology Kanpur
M4101, Aerospace Engineering, Indian Institute of Technology Madras
M5201, Aerospace Engineering, Indian Institute of Technology Madras
M5202, Aerospace Engineering with M.Tech. in Applied Mechanics with specialization in Biomedical Engineering, Indian Institute of Technology Madras
G4102, Agricultural and Food Engineering, Indian Institute of Technology Kharagpur
G5203, Agricultural and Food Engineering with M.Tech. in any of the listed specializations, Indian Institute of Technology Kharagpur
G5501, Applied Geology, Indian Institute of Technology Kharagpur
S5701, Applied Geology, Indian School of Mines Dhanbad
S5702, Applied Geophysics, Indian School of Mines Dhanbad
R5502, Applied Mathematics, Indian Institute of Technology Roorkee
G5101, Architecture, Indian Institute of Technology Kharagpur
R5101, Architecture, Indian Institute of Technology Roorkee
V5204, Biochemical Engineering, Institute of Technology Banaras Hindu University Varanasi
D5205, Biochemical Engineering and Biotechnology, Indian Institute of Technology Delhi
V5206, Bioengineering with M.Tech in Biomedical Technology, Institute of Technology Banaras Hindu University Varanasi
M5207, Biological Engineering, Indian Institute of Technology Madras
M5601, Biological Sciences, Indian Institute of Technology Madras
K4103, Biological Sciences and Bioengineering, Indian Institute of Technology Kanpur
R4104, Biotechnology, Indian Institute of Technology Roorkee
W4104, Biotechnology, Indian Institute of Technology Guwahati
G4105, Biotechnology and Biochemical Engineering, Indian Institute of Technology Kharagpur
G5208, Biotechnology and Biochemical Engineering, Indian Institute of Technology Kharagpur
V4106, Ceramic Engineering, Institute of Technology Banaras Hindu University Varanasi
V5209, Ceramic Engineering, Institute of Technology Banaras Hindu University Varanasi
B4107, Chemical Engineering, Indian Institute of Technology Bombay
B5210, Chemical Engineering, Indian Institute of Technology Bombay
D4107, Chemical Engineering, Indian Institute of Technology Delhi
D5210, Chemical Engineering, Indian Institute of Technology Delhi
G4107, Chemical Engineering, Indian Institute of Technology Kharagpur
G5210, Chemical Engineering, Indian Institute of Technology Kharagpur
H4107, Chemical Engineering, Indian Institute of Technology Hyderabad
K4107, Chemical Engineering, Indian Institute of Technology Kanpur
M4107, Chemical Engineering, Indian Institute of Technology Madras
M5210, Chemical Engineering, Indian Institute of Technology Madras
N4107, Chemical Engineering, Indian Institute of Technology Gandhinagar
R4107, Chemical Engineering, Indian Institute of Technology Roorkee
S4107, Chemical Engineering, Indian School of Mines Dhanbad
